shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_1_2,28.615887,77.022461,1,0.0
shp_1_2,28.616341,77.022499,2,50.51
shp_1_2,28.617985,77.022453,3,233.586
shp_1_2,28.618252,77.022453,4,263.487
shp_1_2,28.618425,77.022438,5,282.857
shp_1_2,28.61871,77.022369,6,315.208
shp_1_2,28.618958,77.022285,7,343.93
shp_1_2,28.619217,77.022163,8,375.033
shp_1_2,28.619474,77.022018,9,407.19
shp_1_2,28.619741,77.021797,10,443.984
shp_1_2,28.620062,77.021408,11,495.663
shp_1_2,28.620296,77.020973,12,545.665
shp_1_2,28.620378,77.02079,13,565.879
shp_1_2,28.620525,77.020317,14,614.672
shp_1_2,28.620575,77.019806,15,665.306
shp_1_2,28.620543,77.019218,16,723.093
shp_1_2,28.620426,77.0187,17,774.707
shp_1_2,28.62023,77.018272,18,822.462
shp_1_2,28.619978,77.017746,19,880.507
shp_1_2,28.619724,77.017174,20,943.615
shp_1_2,28.619505,77.016556,21,1008.467
shp_1_2,28.618519,77.013885,22,1291.57
shp_1_2,28.617323,77.010429,23,1654.505
shp_1_2,28.617323,77.010429,24,1654.505
shp_1_2,28.616274,77.007408,25,1971.9
shp_1_2,28.615828,77.006096,26,2109.642
shp_1_2,28.615513,77.005318,27,2193.295
shp_1_2,28.614643,77.003624,28,2384.833
shp_1_2,28.614332,77.003052,29,2451.123
shp_1_2,28.614187,77.002678,30,2490.71
shp_1_2,28.613871,77.00164,31,2598.382
shp_1_2,28.613548,77.000641,32,2702.035
shp_1_2,28.613352,76.999664,33,2800.249
shp_1_2,28.613253,76.998276,34,2936.152
shp_1_2,28.61248,76.986557,35,4084.604
shp_1_2,28.61248,76.986557,36,4084.604
shp_1_2,28.611858,76.975426,37,5174.734
shp_1_1,28.611858,76.975426,1,0.0
shp_1_1,28.61248,76.986557,2,1090.13
shp_1_1,28.61248,76.986557,3,1090.13
shp_1_1,28.613253,76.998276,4,2238.582
shp_1_1,28.613352,76.999664,5,2374.485
shp_1_1,28.613548,77.000641,6,2472.699
shp_1_1,28.613871,77.00164,7,2576.353
shp_1_1,28.614187,77.002678,8,2684.024
shp_1_1,28.614332,77.003052,9,2723.612
shp_1_1,28.614643,77.003624,10,2789.901
shp_1_1,28.615513,77.005318,11,2981.439
shp_1_1,28.615828,77.006096,12,3065.093
shp_1_1,28.616274,77.007408,13,3202.834
shp_1_1,28.617323,77.010429,14,3520.229
shp_1_1,28.617323,77.010429,15,3520.229
shp_1_1,28.618519,77.013885,16,3883.164
shp_1_1,28.619505,77.016556,17,4166.268
shp_1_1,28.619724,77.017174,18,4231.119
shp_1_1,28.619978,77.017746,19,4294.228
shp_1_1,28.62023,77.018272,20,4352.272
shp_1_1,28.620426,77.0187,21,4400.027
shp_1_1,28.620543,77.019218,22,4451.642
shp_1_1,28.620575,77.019806,23,4509.429
shp_1_1,28.620525,77.020317,24,4560.063
shp_1_1,28.620378,77.02079,25,4608.856
shp_1_1,28.620296,77.020973,26,4629.069
shp_1_1,28.620062,77.021408,27,4679.072
shp_1_1,28.619741,77.021797,28,4730.75
shp_1_1,28.619474,77.022018,29,4767.545
shp_1_1,28.619217,77.022163,30,4799.701
shp_1_1,28.618958,77.022285,31,4830.804
shp_1_1,28.61871,77.022369,32,4859.526
shp_1_1,28.618425,77.022438,33,4891.877
shp_1_1,28.618252,77.022453,34,4911.248
shp_1_1,28.617985,77.022453,35,4941.148
shp_1_1,28.616341,77.022499,36,5124.225
shp_1_1,28.615887,77.022461,37,5174.735
shp_1_3,28.697393,76.919182,1,0.0
shp_1_3,28.696844,76.920227,2,119.332
shp_1_3,28.694012,76.925438,3,717.81
shp_1_3,28.692097,76.928986,4,1124.37
shp_1_3,28.69186,76.929482,5,1180.005
shp_1_3,28.691654,76.930107,6,1245.128
shp_1_3,28.69136,76.931137,7,1350.965
shp_1_3,28.691133,76.932053,8,1443.724
shp_1_3,28.690928,76.933205,9,1558.588
shp_1_3,28.690716,76.935448,10,1778.645
shp_1_3,28.690716,76.935448,11,1778.645
shp_1_3,28.690086,76.94175,12,2398.2
shp_1_3,28.689686,76.946167,13,2831.74
shp_1_3,28.689213,76.951157,14,3322.093
shp_1_3,28.689213,76.951157,15,3322.093
shp_1_3,28.689051,76.952888,16,3491.787
shp_1_3,28.688805,76.956314,17,3827.304
shp_1_3,28.688515,76.959564,18,4146.685
shp_1_3,28.688059,76.963028,19,4488.794
shp_1_3,28.687956,76.964073,20,4591.545
shp_1_3,28.687956,76.964073,21,4591.545
shp_1_3,28.687777,76.965973,22,4777.841
shp_1_3,28.68726,76.972,23,5369.309
shp_1_3,28.686789,76.977203,24,5880.063
shp_1_3,28.686789,76.977203,25,5880.063
shp_1_3,28.686571,76.979927,26,6147.246
shp_1_3,28.686005,76.986237,27,6766.656
shp_1_3,28.685717,76.989571,28,7093.66
shp_1_3,28.685572,76.992699,29,7399.459
shp_1_3,28.685499,76.993599,30,7488.136
shp_1_3,28.685499,76.993599,31,7488.136
shp_1_3,28.68396,76.989822,32,7894.935
shp_1_3,28.68396,76.989822,33,7894.935
shp_1_3,28.682547,77.02829,34,11655.173
shp_1_3,28.682547,77.02829,35,11655.173
shp_1_3,28.682421,77.03006,36,11828.709
shp_1_3,28.682426,77.030571,37,11877.984
shp_1_3,28.682381,77.032608,38,12077.461
shp_1_3,28.682301,77.043938,39,13183.712
shp_1_3,28.682301,77.043938,40,13183.712
shp_1_3,28.682209,77.051994,41,13970.798
shp_1_3,28.682196,77.054016,42,14168.194
shp_1_3,28.68219,77.056236,43,14384.952
shp_1_3,28.68219,77.056236,44,14384.952
shp_1_3,28.682203,77.056999,45,14459.591
shp_1_3,28.682232,77.057693,46,14527.14
shp_1_3,28.682314,77.058182,47,14575.814
shp_1_3,28.682379,77.058693,48,14626.239
shp_1_3,28.682415,77.059128,49,14668.947
shp_1_3,28.682392,77.064728,50,15215.79
shp_1_3,28.682392,77.064728,51,15215.79
shp_1_3,28.682335,77.070862,52,15814.978
shp_1_3,28.682299,77.071381,53,15865.635
shp_1_3,28.682049,77.072624,54,15990.538
shp_1_3,28.681953,77.073311,55,16058.181
shp_1_3,28.68187,77.073997,56,16126.143
shp_1_3,28.68187,77.073997,57,16126.143
shp_1_3,28.681339,77.078705,58,16589.707
shp_1_3,28.681339,77.078705,59,16589.707
shp_1_3,28.680132,77.089417,60,17644.396
shp_1_3,28.679792,77.092667,61,17964.164
shp_1_3,28.679792,77.092667,62,17964.164
shp_1_3,28.679724,77.093864,63,18081.041
