route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
0,weekday,0,,,,,shp_1_30,0,0
0,weekday,1,,,,,shp_1_30,0,0
0,weekday,10,,,,,shp_1_30,0,0
0,weekday,100,,,,,shp_1_30,0,0
2,weekday,1000,,,,,shp_1_13,0,0
19,saturday,10000,,,,,shp_1_33,0,0
19,saturday,10001,,,,,shp_1_33,0,0
19,saturday,10002,,,,,shp_1_33,0,0
19,saturday,10003,,,,,shp_1_33,0,0
19,saturday,10004,,,,,shp_1_33,0,0
19,saturday,10005,,,,,shp_1_33,0,0
19,saturday,10006,,,,,shp_1_33,0,0
19,saturday,10007,,,,,shp_1_33,0,0
19,saturday,10008,,,,,shp_1_33,0,0
19,saturday,10009,,,,,shp_1_33,0,0
2,weekday,1001,,,,,shp_1_13,0,0
19,saturday,10010,,,,,shp_1_33,0,0
19,saturday,10011,,,,,shp_1_33,0,0
19,saturday,10012,,,,,shp_1_33,0,0
19,saturday,10013,,,,,shp_1_33,0,0
19,saturday,10014,,,,,shp_1_33,0,0
19,saturday,10015,,,,,shp_1_33,0,0
19,saturday,10016,,,,,shp_1_33,0,0
19,saturday,10017,,,,,shp_1_33,0,0
19,saturday,10018,,,,,shp_1_33,0,0
19,saturday,10019,,,,,shp_1_33,0,0
2,weekday,1002,,,,,shp_1_13,0,0
19,saturday,10020,,,,,shp_1_33,0,0
19,saturday,10021,,,,,shp_1_33,0,0
19,saturday,10022,,,,,shp_1_33,0,0
19,saturday,10023,,,,,shp_1_33,0,0
19,saturday,10024,,,,,shp_1_33,0,0
19,saturday,10025,,,,,shp_1_33,0,0
19,saturday,10026,,,,,shp_1_33,0,0
19,saturday,10027,,,,,shp_1_33,0,0
19,saturday,10028,,,,,shp_1_33,0,0
19,saturday,10029,,,,,shp_1_33,0,0
2,weekday,1003,,,,,shp_1_13,0,0
19,saturday,10030,,,,,shp_1_33,0,0
19,saturday,10031,,,,,shp_1_33,0,0
19,saturday,10032,,,,,shp_1_33,0,0
19,saturday,10033,,,,,shp_1_33,0,0
19,saturday,10034,,,,,shp_1_33,0,0
19,saturday,10035,,,,,shp_1_33,0,0
19,saturday,10036,,,,,shp_1_33,0,0
19,saturday,10037,,,,,shp_1_33,0,0
19,saturday,10038,,,,,shp_1_33,0,0
19,saturday,10039,,,,,shp_1_33,0,0
2,weekday,1004,,,,,shp_1_13,0,0
19,saturday,10040,,,,,shp_1_33,0,0
19,saturday,10041,,,,,shp_1_33,0,0
19,saturday,10042,,,,,shp_1_33,0,0
19,saturday,10043,,,,,shp_1_33,0,0
19,saturday,10044,,,,,shp_1_33,0,0
19,saturday,10045,,,,,shp_1_33,0,0
19,saturday,10046,,,,,shp_1_33,0,0
19,saturday,10047,,,,,shp_1_33,0,0
19,saturday,10048,,,,,shp_1_33,0,0
19,saturday,10049,,,,,shp_1_33,0,0
2,weekday,1005,,,,,shp_1_13,0,0
19,saturday,10050,,,,,shp_1_33,0,0
19,saturday,10051,,,,,shp_1_33,0,0
19,saturday,10052,,,,,shp_1_33,0,0
19,saturday,10053,,,,,shp_1_33,0,0
19,saturday,10054,,,,,shp_1_33,0,0
19,saturday,10055,,,,,shp_1_33,0,0
19,saturday,10056,,,,,shp_1_33,0,0
19,saturday,10057,,,,,shp_1_33,0,0
19,saturday,10058,,,,,shp_1_33,0,0
2,weekday,1006,,,,,shp_1_13,0,0
2,weekday,1007,,,,,shp_1_13,0,0
2,weekday,1008,,,,,shp_1_13,0,0
2,weekday,1009,,,,,shp_1_13,0,0
0,weekday,101,,,,,shp_1_30,0,0
2,weekday,1010,,,,,shp_1_13,0,0
2,weekday,1011,,,,,shp_1_13,0,0
2,weekday,1012,,,,,shp_1_13,0,0
2,weekday,1013,,,,,shp_1_13,0,0
2,weekday,1014,,,,,shp_1_13,0,0
2,weekday,1015,,,,,shp_1_13,0,0
2,weekday,1016,,,,,shp_1_13,0,0
2,weekday,1017,,,,,shp_1_13,0,0
2,weekday,1018,,,,,shp_1_13,0,0
20,weekday,10186,,,,,shp_1_31,0,0
20,weekday,10187,,,,,shp_1_31,0,0
20,weekday,10188,,,,,shp_1_31,0,0
20,weekday,10189,,,,,shp_1_31,0,0
2,weekday,1019,,,,,shp_1_13,0,0
20,weekday,10190,,,,,shp_1_31,0,0
20,weekday,10191,,,,,shp_1_31,0,0
20,weekday,10192,,,,,shp_1_31,0,0
20,weekday,10193,,,,,shp_1_31,0,0
20,weekday,10194,,,,,shp_1_31,0,0
20,weekday,10195,,,,,shp_1_31,0,0
20,weekday,10196,,,,,shp_1_31,0,0
20,weekday,10197,,,,,shp_1_31,0,0
20,weekday,10198,,,,,shp_1_31,0,0
20,weekday,10199,,,,,shp_1_31,0,0
0,weekday,102,,,,,shp_1_30,0,0
2,weekday,1020,,,,,shp_1_13,0,0
20,weekday,10200,,,,,shp_1_31,0,0
20,weekday,10201,,,,,shp_1_31,0,0
20,weekday,10202,,,,,shp_1_31,0,0
20,weekday,10203,,,,,shp_1_31,0,0
20,weekday,10204,,,,,shp_1_31,0,0
20,weekday,10205,,,,,shp_1_31,0,0
20,weekday,10206,,,,,shp_1_31,0,0
20,weekday,10207,,,,,shp_1_31,0,0
20,weekday,10208,,,,,shp_1_31,0,0
20,weekday,10209,,,,,shp_1_31,0,0
2,weekday,1021,,,,,shp_1_13,0,0
20,weekday,10210,,,,,shp_1_31,0,0
20,weekday,10211,,,,,shp_1_31,0,0
20,weekday,10212,,,,,shp_1_31,0,0
20,weekday,10213,,,,,shp_1_31,0,0
20,weekday,10214,,,,,shp_1_31,0,0
20,weekday,10215,,,,,shp_1_31,0,0
20,weekday,10216,,,,,shp_1_31,0,0
20,weekday,10217,,,,,shp_1_31,0,0
20,weekday,10218,,,,,shp_1_31,0,0
20,weekday,10219,,,,,shp_1_31,0,0
2,weekday,1022,,,,,shp_1_13,0,0
20,weekday,10220,,,,,shp_1_31,0,0
20,weekday,10221,,,,,shp_1_31,0,0
20,weekday,10222,,,,,shp_1_31,0,0
20,weekday,10223,,,,,shp_1_31,0,0
20,weekday,10224,,,,,shp_1_31,0,0
20,weekday,10225,,,,,shp_1_31,0,0
20,weekday,10226,,,,,shp_1_31,0,0
20,weekday,10227,,,,,shp_1_31,0,0
20,weekday,10228,,,,,shp_1_31,0,0
20,weekday,10229,,,,,shp_1_31,0,0
2,weekday,1023,,,,,shp_1_13,0,0
20,weekday,10230,,,,,shp_1_31,0,0
20,weekday,10231,,,,,shp_1_31,0,0
20,weekday,10232,,,,,shp_1_31,0,0
20,weekday,10233,,,,,shp_1_31,0,0
20,weekday,10234,,,,,shp_1_31,0,0
20,weekday,10235,,,,,shp_1_31,0,0
20,weekday,10236,,,,,shp_1_31,0,0
20,weekday,10237,,,,,shp_1_31,0,0
20,weekday,10238,,,,,shp_1_31,0,0
20,weekday,10239,,,,,shp_1_31,0,0
2,weekday,1024,,,,,shp_1_13,0,0
20,weekday,10240,,,,,shp_1_31,0,0
20,weekday,10241,,,,,shp_1_31,0,0
20,weekday,10242,,,,,shp_1_31,0,0
20,weekday,10243,,,,,shp_1_31,0,0
20,weekday,10244,,,,,shp_1_31,0,0
20,weekday,10245,,,,,shp_1_31,0,0
20,weekday,10246,,,,,shp_1_31,0,0
20,weekday,10247,,,,,shp_1_31,0,0
20,weekday,10248,,,,,shp_1_31,0,0
20,weekday,10249,,,,,shp_1_31,0,0
2,weekday,1025,,,,,shp_1_13,0,0
20,weekday,10250,,,,,shp_1_31,0,0
20,weekday,10251,,,,,shp_1_31,0,0
20,weekday,10252,,,,,shp_1_31,0,0
20,weekday,10253,,,,,shp_1_31,0,0
20,weekday,10254,,,,,shp_1_31,0,0
20,weekday,10255,,,,,shp_1_31,0,0
20,weekday,10256,,,,,shp_1_31,0,0
20,weekday,10257,,,,,shp_1_31,0,0
20,weekday,10258,,,,,shp_1_31,0,0
20,weekday,10259,,,,,shp_1_31,0,0
2,weekday,1026,,,,,shp_1_13,0,0
20,weekday,10260,,,,,shp_1_31,0,0
20,weekday,10261,,,,,shp_1_31,0,0
20,weekday,10262,,,,,shp_1_31,0,0
20,weekday,10263,,,,,shp_1_31,0,0
20,weekday,10264,,,,,shp_1_31,0,0
20,weekday,10265,,,,,shp_1_31,0,0
20,weekday,10266,,,,,shp_1_31,0,0
20,weekday,10267,,,,,shp_1_31,0,0
20,weekday,10268,,,,,shp_1_31,0,0
20,weekday,10269,,,,,shp_1_31,0,0
2,weekday,1027,,,,,shp_1_13,0,0
20,weekday,10270,,,,,shp_1_31,0,0
20,weekday,10271,,,,,shp_1_31,0,0
20,weekday,10272,,,,,shp_1_31,0,0
20,weekday,10273,,,,,shp_1_31,0,0
20,weekday,10274,,,,,shp_1_31,0,0
20,weekday,10275,,,,,shp_1_31,0,0
20,weekday,10276,,,,,shp_1_31,0,0
20,weekday,10277,,,,,shp_1_31,0,0
20,weekday,10278,,,,,shp_1_31,0,0
20,weekday,10279,,,,,shp_1_31,0,0
2,weekday,1028,,,,,shp_1_13,0,0
20,weekday,10280,,,,,shp_1_31,0,0
20,weekday,10281,,,,,shp_1_31,0,0
20,weekday,10282,,,,,shp_1_31,0,0
20,weekday,10283,,,,,shp_1_31,0,0
20,weekday,10284,,,,,shp_1_31,0,0
20,weekday,10285,,,,,shp_1_31,0,0
20,weekday,10286,,,,,shp_1_31,0,0
20,weekday,10287,,,,,shp_1_31,0,0
20,weekday,10288,,,,,shp_1_31,0,0
20,weekday,10289,,,,,shp_1_31,0,0
2,weekday,1029,,,,,shp_1_13,0,0
20,weekday,10290,,,,,shp_1_31,0,0
20,weekday,10291,,,,,shp_1_31,0,0
20,weekday,10292,,,,,shp_1_31,0,0
20,weekday,10293,,,,,shp_1_31,0,0
20,weekday,10294,,,,,shp_1_31,0,0
20,weekday,10295,,,,,shp_1_31,0,0
20,weekday,10296,,,,,shp_1_31,0,0
20,weekday,10297,,,,,shp_1_31,0,0
20,weekday,10298,,,,,shp_1_31,0,0
20,weekday,10299,,,,,shp_1_31,0,0
0,weekday,103,,,,,shp_1_30,0,0
2,weekday,1030,,,,,shp_1_13,0,0
20,weekday,10300,,,,,shp_1_31,0,0
20,weekday,10301,,,,,shp_1_31,0,0
20,weekday,10302,,,,,shp_1_31,0,0
20,weekday,10303,,,,,shp_1_31,0,0
20,weekday,10304,,,,,shp_1_31,0,0
20,weekday,10305,,,,,shp_1_31,0,0
20,weekday,10306,,,,,shp_1_31,0,0
20,weekday,10307,,,,,shp_1_31,0,0
20,weekday,10308,,,,,shp_1_31,0,0
20,weekday,10309,,,,,shp_1_31,0,0
2,weekday,1031,,,,,shp_1_13,0,0
20,weekday,10310,,,,,shp_1_31,0,0
20,weekday,10311,,,,,shp_1_31,0,0
20,weekday,10312,,,,,shp_1_31,0,0
20,weekday,10313,,,,,shp_1_31,0,0
20,weekday,10314,,,,,shp_1_31,0,0
20,weekday,10315,,,,,shp_1_31,0,0
20,weekday,10316,,,,,shp_1_31,0,0
20,weekday,10317,,,,,shp_1_31,0,0
20,weekday,10318,,,,,shp_1_31,0,0
20,weekday,10319,,,,,shp_1_31,0,0
2,weekday,1032,,,,,shp_1_13,0,0
20,weekday,10320,,,,,shp_1_31,0,0
20,weekday,10321,,,,,shp_1_31,0,0
20,weekday,10322,,,,,shp_1_31,0,0
20,weekday,10323,,,,,shp_1_31,0,0
20,weekday,10324,,,,,shp_1_31,0,0
20,weekday,10325,,,,,shp_1_31,0,0
20,weekday,10326,,,,,shp_1_31,0,0
20,weekday,10327,,,,,shp_1_31,0,0
20,weekday,10328,,,,,shp_1_31,0,0
20,weekday,10329,,,,,shp_1_31,0,0
2,weekday,1033,,,,,shp_1_13,0,0
20,weekday,10330,,,,,shp_1_31,0,0
20,weekday,10331,,,,,shp_1_31,0,0
20,weekday,10332,,,,,shp_1_31,0,0
20,weekday,10333,,,,,shp_1_31,0,0
20,weekday,10334,,,,,shp_1_31,0,0
20,weekday,10335,,,,,shp_1_31,0,0
20,weekday,10336,,,,,shp_1_31,0,0
20,weekday,10337,,,,,shp_1_31,0,0
20,weekday,10338,,,,,shp_1_31,0,0
20,weekday,10339,,,,,shp_1_31,0,0
2,weekday,1034,,,,,shp_1_13,0,0
20,weekday,10340,,,,,shp_1_31,0,0
20,weekday,10341,,,,,shp_1_31,0,0
20,weekday,10342,,,,,shp_1_31,0,0
20,weekday,10343,,,,,shp_1_31,0,0
20,weekday,10344,,,,,shp_1_31,0,0
20,weekday,10345,,,,,shp_1_31,0,0
20,weekday,10346,,,,,shp_1_31,0,0
20,weekday,10347,,,,,shp_1_31,0,0
20,weekday,10348,,,,,shp_1_31,0,0
20,weekday,10349,,,,,shp_1_31,0,0
2,weekday,1035,,,,,shp_1_13,0,0
20,weekday,10350,,,,,shp_1_31,0,0
20,weekday,10351,,,,,shp_1_31,0,0
20,weekday,10352,,,,,shp_1_31,0,0
20,weekday,10353,,,,,shp_1_31,0,0
20,weekday,10354,,,,,shp_1_31,0,0
20,weekday,10355,,,,,shp_1_31,0,0
20,weekday,10356,,,,,shp_1_31,0,0
20,weekday,10357,,,,,shp_1_31,0,0
20,weekday,10358,,,,,shp_1_31,0,0
20,weekday,10359,,,,,shp_1_31,0,0
2,weekday,1036,,,,,shp_1_13,0,0
20,weekday,10360,,,,,shp_1_31,0,0
20,weekday,10361,,,,,shp_1_31,0,0
20,weekday,10362,,,,,shp_1_31,0,0
20,weekday,10363,,,,,shp_1_31,0,0
20,weekday,10364,,,,,shp_1_31,0,0
20,weekday,10365,,,,,shp_1_31,0,0
20,weekday,10366,,,,,shp_1_31,0,0
20,weekday,10367,,,,,shp_1_31,0,0
20,weekday,10368,,,,,shp_1_31,0,0
20,weekday,10369,,,,,shp_1_31,0,0
2,weekday,1037,,,,,shp_1_13,0,0
20,weekday,10370,,,,,shp_1_31,0,0
20,weekday,10371,,,,,shp_1_31,0,0
20,weekday,10372,,,,,shp_1_31,0,0
20,weekday,10373,,,,,shp_1_31,0,0
20,weekday,10374,,,,,shp_1_31,0,0
20,weekday,10375,,,,,shp_1_31,0,0
20,weekday,10376,,,,,shp_1_31,0,0
20,weekday,10377,,,,,shp_1_31,0,0
20,weekday,10378,,,,,shp_1_31,0,0
20,weekday,10379,,,,,shp_1_31,0,0
2,weekday,1038,,,,,shp_1_13,0,0
20,weekday,10380,,,,,shp_1_31,0,0
20,weekday,10381,,,,,shp_1_31,0,0
20,weekday,10382,,,,,shp_1_31,0,0
2,weekday,1039,,,,,shp_1_13,0,0
0,weekday,104,,,,,shp_1_30,0,0
2,weekday,1040,,,,,shp_1_13,0,0
2,weekday,1041,,,,,shp_1_13,0,0
2,weekday,1042,,,,,shp_1_13,0,0
2,weekday,1043,,,,,shp_1_13,0,0
2,weekday,1044,,,,,shp_1_13,0,0
2,weekday,1045,,,,,shp_1_13,0,0
2,weekday,1046,,,,,shp_1_13,0,0
2,weekday,1047,,,,,shp_1_13,0,0
2,weekday,1048,,,,,shp_1_13,0,0
2,weekday,1049,,,,,shp_1_13,0,0
0,weekday,105,,,,,shp_1_30,0,0
2,weekday,1050,,,,,shp_1_13,0,0
2,weekday,1051,,,,,shp_1_13,0,0
2,weekday,1052,,,,,shp_1_13,0,0
2,weekday,1053,,,,,shp_1_13,0,0
2,weekday,1054,,,,,shp_1_13,0,0
2,weekday,1055,,,,,shp_1_13,0,0
2,weekday,1056,,,,,shp_1_13,0,0
2,weekday,1057,,,,,shp_1_13,0,0
2,weekday,1058,,,,,shp_1_13,0,0
2,weekday,1059,,,,,shp_1_13,0,0
0,weekday,106,,,,,shp_1_30,0,0
0,weekday,107,,,,,shp_1_30,0,0
21,weekday,10736,,,,,shp_1_34,0,0
21,weekday,10737,,,,,shp_1_34,0,0
21,weekday,10738,,,,,shp_1_34,0,0
21,weekday,10739,,,,,shp_1_34,0,0
21,weekday,10740,,,,,shp_1_34,0,0
21,weekday,10741,,,,,shp_1_34,0,0
21,weekday,10742,,,,,shp_1_34,0,0
21,weekday,10743,,,,,shp_1_34,0,0
21,weekday,10744,,,,,shp_1_34,0,0
21,weekday,10745,,,,,shp_1_34,0,0
21,weekday,10746,,,,,shp_1_34,0,0
21,weekday,10747,,,,,shp_1_34,0,0
21,weekday,10748,,,,,shp_1_34,0,0
21,weekday,10749,,,,,shp_1_34,0,0
21,weekday,10750,,,,,shp_1_34,0,0
21,weekday,10751,,,,,shp_1_34,0,0
21,weekday,10752,,,,,shp_1_34,0,0
21,weekday,10753,,,,,shp_1_34,0,0
21,weekday,10754,,,,,shp_1_34,0,0
21,weekday,10755,,,,,shp_1_34,0,0
21,weekday,10756,,,,,shp_1_34,0,0
21,weekday,10757,,,,,shp_1_34,0,0
21,weekday,10758,,,,,shp_1_34,0,0
21,weekday,10759,,,,,shp_1_34,0,0
21,weekday,10760,,,,,shp_1_34,0,0
21,weekday,10761,,,,,shp_1_34,0,0
21,weekday,10762,,,,,shp_1_34,0,0
21,weekday,10763,,,,,shp_1_34,0,0
21,weekday,10764,,,,,shp_1_34,0,0
